,city,region,type_of_settlements,year,population,latitude_point,longitude_point
261,Угерсько,lviv,vilage,1176.0,1683.0,49.30083333333333,23.90861111111111
262,Лукім'я,poltava,vilage,1178.0,628.0,49.81944444444445,32.89055555555556
263,Рогатин,,city,1184.0,7925.0,49.416666666666664,24.616666666666667
264,Борисковичі,Volins,vilage,1184.0,467.0,50.42166666666667,24.7825
265,Дерганівка,zitomer,vilage,1185.0,799.0,49.69222222222222,29.063333333333333
266,Велика Бурімка,cherkasy,vilage,1185.0,1850.0,49.60888888888889,32.63805555555555
267,Дубаневичі,lviv,vilage,1187.0,1289.0,49.69638888888888,23.50777777777778
268,Пійло,ivan_frank,vilage,1187.0,2150.0,49.00277777777778,24.303611111111113
269,Жадківка,rivne,vilage,1188.0,833.0,50.599722222222226,27.149722222222223
270,Пашківці (Старокостянтинівський район),xmelnitsk,vilage,1189.0,1323.0,49.76861111111111,27.131944444444446
271,Шарки (Білоцерківський район),kyiv,vilage,1190.0,704.0,49.713055555555556,30.62361111111111
272,Лядова (Могилів-Подільський район),Vinitsa,vilage,1190.0,805.0,48.49611111111111,27.614444444444445
273,Деренковець,cherkasy,vilage,1192.0,1780.0,49.418055555555554,31.466666666666665
274,Чорнобиль,,city,1193.0,1054.0,51.266666666666666,30.216666666666665
275,Городище (Хмельницький район),xmelnitsk,vilage,1194.0,465.0,49.26138888888889,27.652777777777775
276,Городенка,,city,1195.0,9277.0,48.6675,25.50027777777778
277,Стара Басань,chernihiv,vilage,1196.0,683.0,50.64472222222222,31.490555555555556
278,Щербанівка,kyiv,vilage,1196.0,243.0,50.09777777777778,30.73611111111111
279,Сигнаївка,cherkasy,vilage,1197.0,1990.0,49.051944444444445,31.495
280,Ярославка (Ніжинський район),chernihiv,vilage,1198.0,676.0,50.66027777777778,31.303611111111113
281,Спас (Львівський район),lviv,vilage,1198.0,276.0,50.04694444444444,24.478888888888886
282,Старий Самбір,,city,1199.0,6597.0,49.43333333333333,23.0
283,П'ятківка,Vinitsa,vilage,1200.0,1841.0,48.31888888888889,29.383333333333333
284,Піщане (Черкаська область),cherkasy,vilage,1200.0,3827.0,49.74638888888889,31.844444444444445
285,Княгининок,Volins,vilage,1200.0,2168.0,50.79694444444444,25.267777777777777
286,Старі Бабани,cherkasy,vilage,1200.0,1605.0,48.852222222222224,30.350833333333334
287,Чернівці,,city,1200.0,265515.0,48.29083333333333,25.934444444444445
288,Чулатів (Новгород-Сіверський район),chernihiv,vilage,1200.0,137.0,51.96888888888889,33.344722222222224
289,Костобобрів,chernihiv,vilage,1200.0,820.0,52.23972222222222,32.93722222222222
290,Свалява,,city,1200.0,17181.0,48.54722222222222,22.98638888888889
291,Березівка (Березівська сільська громада),zitomer,vilage,1200.0,1967.0,50.31222222222222,28.43138888888889
292,Леляки (Баришівський район),kyiv,vilage,1200.0,468.0,50.237500000000004,31.540277777777778
293,Бобриця (Фастівський район),kyiv,vilage,1200.0,29.0,50.28,30.22722222222222
294,Самостріли,rivne,vilage,1200.0,504.0,50.60611111111111,26.91861111111111
295,Ялта,,city,1200.0,78200.0,44.49888888888889,34.16972222222222
296,Скочище (село),zitomer,vilage,1200.0,373.0,50.108333333333334,29.33611111111111
297,Виграїв,cherkasy,vilage,1200.0,614.0,49.455555555555556,31.140277777777776
298,Кам'янець-Подільський,,city,1200.0,97970.0,48.68055555555555,26.580555555555556
299,Дорогинка (Прилуцький район),chernihiv,vilage,1200.0,1083.0,50.93694444444444,32.12777777777778
300,Дробишів,chernihiv,vilage,1200.0,191.0,51.948611111111106,33.33722222222222
301,Семки (Луцький район),Volins,vilage,1200.0,152.0,51.12138888888889,25.736666666666668
302,Грищинці,cherkasy,vilage,1200.0,652.0,49.80166666666666,31.352222222222224
303,Убині,lviv,vilage,1200.0,354.0,49.92583333333333,24.427500000000002
304,Дорогинка (Фастівський район),kyiv,vilage,1200.0,748.0,50.17361111111111,29.911388888888887
305,Четвертня,Volins,vilage,1200.0,1311.0,51.04472222222222,25.475277777777777
306,Карашина (Україна),cherkasy,vilage,1200.0,616.0,49.403055555555554,31.30777777777778
307,Стара Носовиця,rivne,vilage,1200.0,385.0,50.28972222222222,25.669722222222223
308,Бровари,,city,1200.0,,50.51138888888889,30.790277777777778
309,Ратищі,ternopil,vilage,1200.0,311.0,49.83527777777778,25.308611111111112
310,Камінь-Каширський,,city,1200.0,12505.0,51.62,24.96527777777778
311,Перехрестя (село),zakarpat,vilage,1200.0,927.0,48.13722222222222,22.836944444444445
312,Мар'янівка (Білоцерківський район),kyiv,vilage,1201.0,1017.0,50.06638888888889,30.169444444444444
313,Духове,poltava,vilage,1204.0,346.0,50.14944444444444,32.73833333333334
314,Глибочок (Кам'янець-Подільський район),xmelnitsk,vilage,1208.0,542.0,48.858333333333334,27.165555555555553
315,Полупанівка,ternopil,vilage,1209.0,1008.0,49.47833333333333,25.970555555555553
316,Рокитне (Яворівський район),lviv,vilage,1210.0,266.0,49.94416666666666,23.908055555555553
317,Старий Збараж,ternopil,vilage,1211.0,782.0,49.650277777777774,25.749444444444446
318,Бібрка,,city,1211.0,3817.0,49.63583333333333,24.29361111111111
319,Збараж,,city,1211.0,10000.0,49.671388888888885,25.770833333333332
320,Соболівка (Брусилівська селищна громада),zitomer,vilage,1212.0,358.0,50.13638888888889,29.41916666666667
321,Онут,chernivtsi,vilage,1213.0,624.0,48.56722222222223,26.05
322,Тлумач,,city,1213.0,6000.0,48.85277777777778,24.995555555555555
323,Великі Береги,zakarpat,vilage,1214.0,2766.0,48.231388888888894,22.75027777777778
324,Ботар,zakarpat,vilage,1216.0,924.0,48.02638888888889,22.970277777777778
325,Березне (Шепетівський район),xmelnitsk,vilage,1220.0,166.0,50.09666666666667,27.175555555555558
326,Сульжин,xmelnitsk,vilage,1220.0,257.0,49.972500000000004,27.03888888888889
